target,spectator,load,distance,observed,predicted,sim,h_rho,predicted_regression
kv_lookup,light_background,0.9,same_core,6131.874962617678,269.1908649892877,0.6570172197013767,1.0,
kv_lookup,light_background,0.9,same_numa,6131.874962617678,107.67634599571505,0.6570172197013767,0.4,
kv_lookup,light_background,0.9,cross_socket,6131.874962617678,26.919086498928777,0.6570172197013767,0.1,
inference_request,cache_thrash,0.3,same_core,6230937.228730926,15028.65517175824,0.7740251980031411,1.0,
inference_request,cache_thrash,0.3,same_numa,6230937.228730926,6011.462068703302,0.7740251980031411,0.4,
inference_request,cache_thrash,0.3,cross_socket,6230937.228730926,1502.8655171758292,0.7740251980031411,0.1,
inference_request,cache_thrash,0.6,same_core,6230937.228730926,34526.78294723275,0.7740251980031411,1.0,
inference_request,cache_thrash,0.6,same_numa,6230937.228730926,13810.713178893107,0.7740251980031411,0.4,
inference_request,cache_thrash,0.6,cross_socket,6230937.228730926,3452.6782947232714,0.7740251980031411,0.1,2090991.7248165715
inference_request,cache_thrash,0.9,same_core,6230937.228730926,56164.982184815985,0.7740251980031411,1.0,
inference_request,cache_thrash,0.9,same_numa,6230937.228730926,22465.992873926407,0.7740251980031411,0.4,
inference_request,cache_thrash,0.9,cross_socket,6230937.228730926,5616.4982184816035,0.7740251980031411,0.1,
inference_request,membw_saturator,0.3,same_core,7802528.973655347,17271.41144071114,0.8895345263701417,1.0,
inference_request,membw_saturator,0.3,same_numa,7802528.973655347,6908.564576284458,0.8895345263701417,0.4,
inference_request,membw_saturator,0.3,cross_socket,7802528.973655347,1727.1411440711163,0.8895345263701417,0.1,
inference_request,membw_saturator,0.6,same_core,7802528.973655347,39679.283820843695,0.8895345263701417,1.0,
inference_request,membw_saturator,0.6,same_numa,7802528.973655347,15871.713528337474,0.8895345263701417,0.4,
inference_request,membw_saturator,0.6,cross_socket,7802528.973655347,3967.9283820843702,0.8895345263701417,0.1,
inference_request,membw_saturator,0.9,same_core,7802528.973655347,64546.59480756983,0.8895345263701417,1.0,
inference_request,membw_saturator,0.9,same_numa,7802528.973655347,25818.637923027934,0.8895345263701417,0.4,
inference_request,membw_saturator,0.9,cross_socket,7802528.973655347,6454.659480756985,0.8895345263701417,0.1,
inference_request,tlb_stress,0.3,same_core,1710935.6026809206,10231.972329453223,0.5269802465859048,1.0,
inference_request,tlb_stress,0.3,same_numa,1710935.6026809206,4092.788931781288,0.5269802465859048,0.4,
inference_request,tlb_stress,0.3,cross_socket,1710935.6026809206,1023.1972329453274,0.5269802465859048,0.1,154847.00514163775
inference_request,tlb_stress,0.6,same_core,1710935.6026809206,23506.899566436194,0.5269802465859048,1.0,
inference_request,tlb_stress,0.6,same_numa,1710935.6026809206,9402.759826574475,0.5269802465859048,0.4,
inference_request,tlb_stress,0.6,cross_socket,1710935.6026809206,2350.6899566436114,0.5269802465859048,0.1,
inference_request,tlb_stress,0.9,same_core,1710935.6026809206,38238.853512269205,0.5269802465859048,1.0,
inference_request,tlb_stress,0.9,same_numa,1710935.6026809206,15295.541404907686,0.5269802465859048,0.4,159280.1309344424
inference_request,tlb_stress,0.9,cross_socket,1710935.6026809206,3823.885351226927,0.5269802465859048,0.1,
inference_request,light_background,0.3,same_core,1361559.4256458476,14867.124943165581,0.7657058596630827,1.0,
inference_request,light_background,0.3,same_numa,1361559.4256458476,5946.84997726624,0.7657058596630827,0.4,
inference_request,light_background,0.3,cross_socket,1361559.4256458476,1486.7124943165618,0.7657058596630827,0.1,
inference_request,light_background,0.6,same_core,1361559.4256458476,34155.68393149938,0.7657058596630827,1.0,
inference_request,light_background,0.6,same_numa,1361559.4256458476,13662.273572599755,0.7657058596630827,0.4,
inference_request,light_background,0.6,cross_socket,1361559.4256458476,3415.568393149937,0.7657058596630827,0.1,2025805.1562279458
inference_request,light_background,0.9,same_core,1361559.4256458476,55561.31257449288,0.7657058596630827,1.0,
inference_request,light_background,0.9,same_numa,1361559.4256458476,22224.525029797143,0.7657058596630827,0.4,
inference_request,light_background,0.9,cross_socket,1361559.4256458476,5556.131257449284,0.7657058596630827,0.1,
