n_probes,repeat,strategy,reconstruction_error_l1,reconstruction_error_l2,ranking_ndcg_k3,ranking_ndcg_k5,jaccard_k3,precision_k3,recall_k3,kendall_tau
20,210,dpp,53991.570986361614,124462.44105413092,1.0,1.0,1.0,1.0,1.0,1.0
20,211,random,38511.366027628734,93578.90566172617,1.0,1.0,1.0,1.0,1.0,1.0
20,211,round_robin,56993.09898493115,119229.71836446448,1.0,1.0,1.0,1.0,1.0,1.0
20,211,ucb,76123.68394364516,177372.7289967484,1.0,1.0,1.0,1.0,1.0,1.0
20,211,dpp,103320.52291689914,239099.0591387452,1.0,1.0,1.0,1.0,1.0,1.0
20,212,random,100423.46459232106,225394.0632793617,1.0,1.0,1.0,1.0,1.0,1.0
20,212,round_robin,73460.48861364242,141546.80683686145,1.0,1.0,1.0,1.0,1.0,1.0
20,212,ucb,90318.18549415215,175949.83027679118,1.0,1.0,1.0,1.0,1.0,1.0
20,212,dpp,96071.52727829076,200077.85799901374,1.0,1.0,1.0,1.0,1.0,1.0
20,213,random,79541.2153170901,169475.90165021346,1.0,1.0,1.0,1.0,1.0,1.0
20,213,round_robin,64425.9716094501,135372.8952257486,1.0,1.0,1.0,1.0,1.0,1.0
20,213,ucb,22064.11533884037,43660.68933527517,1.0,1.0,1.0,1.0,1.0,1.0
20,213,dpp,33907.66067737039,74648.40869710501,1.0,1.0,1.0,1.0,1.0,1.0
20,214,random,33860.13324923569,72981.03120461322,1.0,1.0,1.0,1.0,1.0,1.0
20,214,round_robin,37042.81985204693,83009.61670180736,1.0,1.0,1.0,1.0,1.0,1.0
20,214,ucb,46550.41864310157,117426.90250248779,1.0,1.0,1.0,1.0,1.0,1.0
20,214,dpp,51924.27685902434,142037.11451127395,1.0,1.0,1.0,1.0,1.0,1.0
2,685,random,4856370.355735232,9678628.995920688,0.9123377033685562,0.9540391261945377,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,685,round_robin,7623372.271009716,14546046.960209876,0.7564800393001768,0.8153031399932191,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
2,685,ucb,3127163.0219706455,6985432.776475077,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,685,dpp,7639236.740839147,14546156.939882535,0.6142255030440156,0.6751558150491612,0.5,0.6666666666666666,0.6666666666666666,-0.11952286093343936
2,686,random,6353911.533405211,13637944.417156158,0.518905096300124,0.6452405708022675,0.5,0.6666666666666666,0.6666666666666666,-0.35856858280031806
2,686,round_robin,7634386.95456566,14546130.220947627,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,686,ucb,3134154.6057135747,6985733.8757348005,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,686,dpp,6346927.701308946,13637865.567319619,0.518905096300124,0.6452405708022675,0.5,0.6666666666666666,0.6666666666666666,-0.35856858280031806
2,687,random,7624288.025954548,14545994.207386209,0.6168479211940487,0.741732572165446,0.5,0.6666666666666666,0.6666666666666666,0.35856858280031806
2,687,round_robin,7634404.096227421,14546130.220825315,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,687,ucb,3136955.83801813,6985616.286162705,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,687,dpp,4880169.93927271,9679605.062233683,0.8903108200440205,0.9471514902113802,0.5,0.6666666666666666,0.6666666666666666,0.11952286093343936
2,688,random,6723570.827026216,14081622.154022705,0.4089399259710787,0.5788144969680177,0.2,0.3333333333333333,0.3333333333333333,-0.5976143046671968
2,688,round_robin,4866256.869753839,9678921.254611641,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,688,ucb,3125251.733421722,6985355.543216646,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,688,dpp,6713614.481948056,14081385.743966838,0.5003471071127622,0.6136518185310454,0.5,0.6666666666666666,0.6666666666666666,-0.35856858280031806
2,689,random,7626881.99831739,14546069.65372045,0.6805640977307876,0.725698774613198,0.5,0.6666666666666666,0.6666666666666666,0.11952286093343936
2,689,round_robin,5925057.761333517,12911887.221930498,0.7564800393001768,0.8153031399932191,0.5,0.6666666666666666,0.6666666666666666,0.5976143046671968
2,689,ucb,3139568.7264302624,6985919.573465598,0.9275615227969028,0.9838503996486292,0.5,0.6666666666666666,0.6666666666666666,0.8366600265340756
2,689,dpp,7639210.917044702,14546156.939354587,0.6142255030440156,0.6751558150491612,0.5,0.6666666666666666,0.6666666666666666,-0.11952286093343936
4,685,random,5906767.669440716,13726306.065276336,0.1771663203333103,0.5471558187633176,0.2,0.3333333333333333,0.3333333333333333,-0.5270462766947299
4,685,round_robin,5102726.25165295,12523547.878218262,0.301964964550897,0.6701058251676477,0.2,0.3333333333333333,0.3333333333333333,-0.2
4,685,ucb,1394351.6316821924,5062180.290871339,0.9450174148354773,0.9862347542747936,0.5,0.6666666666666666,0.6666666666666666,0.6
4,685,dpp,5086501.944668599,12523357.76110578,0.3569475497154197,0.6515740466463814,0.5,0.6666666666666666,0.6666666666666666,-0.2
4,686,random,7621948.344278094,14546046.492064102,0.828918516503274,0.8299454383390272,1.0,1.0,1.0,0.6
4,686,round_robin,4988754.759959885,12385880.485662831,0.30653595583685805,0.6746091065246406,0.2,0.3333333333333333,0.3333333333333333,0.0
