drift_type,magnitude,repeat,naive_bias,irbs_bias,naive_rmse,irbs_rmse
slow_ramp,0.0,6,-40350.923177874356,-12395.581974379136,47742.88847581822,31444.797937007428
slow_ramp,0.0,7,-26878.477726390644,-33130.87528217808,47742.88847581822,31444.797937007428
slow_ramp,0.0,8,-11057.037092717423,-41028.65358922808,47742.88847581822,31444.797937007428
slow_ramp,0.0,9,31375.977546867245,22460.398847230885,47742.88847581822,31444.797937007428
slow_ramp,0.0,10,-4108.40249592351,6709.043731972546,47742.88847581822,31444.797937007428
slow_ramp,0.0,11,47547.41617075473,15015.493946324685,47742.88847581822,31444.797937007428
slow_ramp,0.0,12,-41353.48155294609,-20121.40564969278,47742.88847581822,31444.797937007428
slow_ramp,0.0,13,5453.982305051759,26482.717357108486,47742.88847581822,31444.797937007428
slow_ramp,0.0,14,-16231.674616717995,-24951.99831606919,47742.88847581822,31444.797937007428
slow_ramp,0.0,15,-53918.26656630311,-20655.655438234186,47742.88847581822,31444.797937007428
slow_ramp,0.0,16,60900.35331627284,-19468.495444735687,47742.88847581822,31444.797937007428
slow_ramp,0.0,17,22424.32582223424,-4963.533877358714,47742.88847581822,31444.797937007428
slow_ramp,0.0,18,-69421.54766775203,54439.864107921836,47742.88847581822,31444.797937007428
slow_ramp,0.0,19,-24304.168212861026,15719.392629860784,47742.88847581822,31444.797937007428
slow_ramp,0.05,0,-71838.30084168713,-7256.41589416741,53951.7955131204,43164.51438351776
slow_ramp,0.05,1,-25795.64736750981,5201.6883496269,53951.7955131204,43164.51438351776
slow_ramp,0.05,2,-43574.97605510446,117117.93319215812,53951.7955131204,43164.51438351776
slow_ramp,0.05,3,40982.05469115253,7360.493761786696,53951.7955131204,43164.51438351776
slow_ramp,0.05,4,131499.24552222062,10145.475546338508,53951.7955131204,43164.51438351776
slow_ramp,0.05,5,-12513.669999783102,-50502.56782956002,53951.7955131204,43164.51438351776
slow_ramp,0.05,6,-38991.558507793845,-16573.95667360659,53951.7955131204,43164.51438351776
slow_ramp,0.05,7,23317.682249467704,49496.55474260257,53951.7955131204,43164.51438351776
slow_ramp,0.05,8,-25777.194119931548,72937.97629143466,53951.7955131204,43164.51438351776
slow_ramp,0.05,9,-44835.02535681668,-13587.393290666776,53951.7955131204,43164.51438351776
slow_ramp,0.05,10,-36219.67414169022,-37181.41192282882,53951.7955131204,43164.51438351776
slow_ramp,0.05,11,-46157.801285928785,45321.26332565994,53951.7955131204,43164.51438351776
slow_ramp,0.05,12,-33984.921301776136,-40535.940927270654,53951.7955131204,43164.51438351776
slow_ramp,0.05,13,-21776.87546906632,-46359.412478870276,53951.7955131204,43164.51438351776
slow_ramp,0.05,14,105611.40182519646,51181.22208401063,53951.7955131204,43164.51438351776
slow_ramp,0.05,15,87378.31171846623,-27338.4025819058,53951.7955131204,43164.51438351776
slow_ramp,0.05,16,-13369.650535085704,1631.4978668868425,53951.7955131204,43164.51438351776
slow_ramp,0.05,17,-13706.132181144872,-21175.1230967725,53951.7955131204,43164.51438351776
slow_ramp,0.05,18,16012.007395262131,-37391.05670390549,53951.7955131204,43164.51438351776
slow_ramp,0.05,19,-46268.51753553242,-9247.631529501494,53951.7955131204,43164.51438351776
slow_ramp,0.1,0,-29727.320417156065,10911.125873722805,38593.4215113927,32743.36481612807
slow_ramp,0.1,1,-6728.670142337243,16093.62410084944,38593.4215113927,32743.36481612807
slow_ramp,0.1,2,-37281.34554009355,-42455.60966336634,38593.4215113927,32743.36481612807
slow_ramp,0.1,3,-32915.469450837205,-21967.8373127034,38593.4215113927,32743.36481612807
slow_ramp,0.1,4,-68081.59823019254,-16797.754679037957,38593.4215113927,32743.36481612807
slow_ramp,0.1,5,54475.94382777871,12888.300813377602,38593.4215113927,32743.36481612807
slow_ramp,0.1,6,-46766.68971103252,-8733.575232932897,38593.4215113927,32743.36481612807
slow_ramp,0.1,7,-16231.483110685513,42707.49028366286,38593.4215113927,32743.36481612807
slow_ramp,0.1,8,48649.39457170284,-56406.9064306824,38593.4215113927,32743.36481612807
slow_ramp,0.1,9,-38490.46028424776,-24391.544254371227,38593.4215113927,32743.36481612807
slow_ramp,0.1,10,24367.845651650336,-20424.819288437313,38593.4215113927,32743.36481612807
slow_ramp,0.1,11,-19320.825875208015,-34192.342577144416,38593.4215113927,32743.36481612807
slow_ramp,0.1,12,77710.86118326464,42373.033843521756,38593.4215113927,32743.36481612807
slow_ramp,0.1,13,-5481.319734231627,-23016.47386850146,38593.4215113927,32743.36481612807
