mean,median,std,p95,p99,cvar95,cvar99,n_samples,slo_violation_rate,scheduler,target,device,load,distance,regime,n_cotenants,cotenants,scenario,seed
3935.553634546586,2131.218462117591,5479.935477151397,14779.24515858571,27873.969921371852,23804.986294928156,31448.460412391985,300,0.9266666666666666,random,redis_get,cloud_c5,0.7,same_numa,structured,3,"video_transcode,batch_training,data_shuffle",Redis (GET),43
4521.110335636288,762.4274992891,45920.04091343978,6609.56196185009,22041.210858416387,69552.35131326037,293114.274896047,300,0.7066666666666667,sit_dpp,redis_get,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),43
71943.49296845486,10903.17996463223,747428.2710983789,115411.55248193363,411382.8309437845,1139612.8916037625,4913417.446947821,300,0.9933333333333333,random,redis_get,cloud_c5,0.7,same_core,adversarial,3,"batch_training,log_aggregator,data_shuffle",Redis (GET),43
8916.717029568237,3267.9373769626936,28471.327364038345,23134.65117740468,80781.26650787788,91577.4719234504,255522.75661709523,300,0.9633333333333334,sit_dpp,redis_get,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),43
11531.958311870323,3977.030108068234,44143.81032791617,34782.575417645436,108334.96742636428,118121.40907758995,335733.2704669062,300,0.9766666666666667,random,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"data_shuffle,batch_training,idle_daemon",Redis (GET),43
4214.381703633664,1945.6500413139504,9093.838851116387,11940.735833372026,38976.520864634396,33837.746504849376,73907.67308474153,300,0.94,sit_dpp,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),43
12886.900353873518,5043.7193385449755,43285.50348795457,39240.19738622257,117394.54417780868,125259.83844241215,346795.8211728288,300,0.9766666666666667,random,redis_get,cloud_c5,0.7,same_core,structured,3,"idle_daemon,batch_training,video_transcode",Redis (GET),44
4778.278277685624,1789.6197682067668,19333.140268939973,10077.850778328493,52636.77682756013,53745.7606854208,176480.32713631578,300,0.8833333333333333,sit_dpp,redis_get,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),44
4347.760760012667,1436.7199204972653,16936.60829350513,11020.748833227362,60896.479982176614,48870.56333085818,159555.0026680208,300,0.84,random,redis_get,cloud_c5,0.7,same_numa,structured,3,"data_shuffle,idle_daemon,batch_training",Redis (GET),44
1448.4074684412376,759.1415577878779,2209.804833870548,5127.716528155243,12786.652115247578,9273.990726694423,15717.02048235361,300,0.7366666666666667,sit_dpp,redis_get,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),44
13590.242103161803,3363.4363044734982,57767.24024077019,38867.20424124981,192967.14938746887,172964.51077998383,538239.2259089077,300,0.96,random,redis_get,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),44
21826.148504495624,2969.1485112311375,188254.38412202307,17046.149301343878,216675.93671657855,361708.86457202747,1597643.360318783,300,0.9766666666666667,sit_dpp,redis_get,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),44
13421.282059074045,6346.040457286521,29482.134692503834,41610.65156315762,139236.17532428665,114753.42794304798,243207.41806853213,300,0.9866666666666667,random,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"batch_training,video_transcode,log_aggregator",Redis (GET),44
3515.5255906970287,1697.9612583530911,6377.442408223915,11230.370115080083,29233.0083017987,25227.25557097282,52648.893772937474,300,0.9333333333333333,sit_dpp,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),44
8541.904355442019,1564.0297442507251,87932.83094651745,14294.794579200297,28381.124191574614,127904.18455177089,566926.8812801547,300,0.8866666666666667,random,redis_get,cloud_c5,0.7,same_core,structured,3,"data_shuffle,log_aggregator,idle_daemon",Redis (GET),45
30368.08954620095,1449.520295567352,478215.1422343574,8487.864428843348,18704.461220057387,571186.3377688291,2802846.5758498996,300,0.9033333333333333,sit_dpp,redis_get,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),45
5253.663312891575,1749.3972165687433,18721.121515305436,18822.405431019175,71765.26634659688,56324.646687532266,163665.69503279834,300,0.88,random,redis_get,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,data_shuffle,batch_training",Redis (GET),45
2069.9384671119674,757.1995842843469,7520.718580672487,5216.181704199015,21861.933795530607,20932.42814422922,61637.46381923333,300,0.7266666666666667,sit_dpp,redis_get,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),45
29430.17272753453,12536.172786387197,94543.65440633173,91788.95220515382,254095.2541004117,284026.23541181494,826885.6853846587,300,0.9966666666666667,random,redis_get,cloud_c5,0.7,same_core,adversarial,3,"data_shuffle,log_aggregator,batch_training",Redis (GET),45
6163.328796097024,3563.9525620160875,9859.571444007091,16089.150317367898,50770.778494827544,38635.16769968181,81410.5843304275,300,0.9833333333333333,sit_dpp,redis_get,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),45
5442.613769314924,2799.576564630018,9864.111883442667,16782.42635888677,48730.589664965286,38996.32160289573,79201.16187421809,300,0.93,random,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"video_transcode,data_shuffle,idle_daemon",Redis (GET),45
3948.466265009595,1677.7618283696834,8357.104305732344,14384.067790094368,36862.61691425357,31678.09182389873,71074.6663107319,300,0.8966666666666666,sit_dpp,redis_get,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",Redis (GET),45
50807.64585341307,21673.722790483404,214549.28085235207,145538.6112138554,287712.5983406359,482284.19733487046,1671155.1864229145,300,0.94,random,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"data_shuffle,log_aggregator,video_transcode",gRPC Endpoint,42
51085.852019442136,13759.72508575343,283270.8796635105,96944.05460169053,509996.4497203869,667475.8939897127,2435723.44569491,300,0.8433333333333334,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,42
31433.66598404077,14196.208521761211,155381.47877876722,62353.93084434521,132962.45642226344,312338.2448409848,1160005.6779512232,300,0.83,random,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"batch_training,log_aggregator,video_transcode",gRPC Endpoint,42
17118.916051553046,7340.67054383198,65663.38472960712,36155.290026291535,125526.45717506981,166946.87355227355,588689.6743355863,300,0.6766666666666666,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,42
129476.2359627672,37069.801781893664,464176.7727546968,434239.0344726768,1807955.863163692,1496862.036088789,3808912.3331944305,300,0.96,random,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"data_shuffle,log_aggregator,batch_training",gRPC Endpoint,42
72396.78953368046,18898.806509081493,424379.9791951892,190224.37695890994,582500.8497213437,955690.17324675,3629073.094465314,300,0.91,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,42
55532.65881476001,26200.831669896994,94872.35703875653,207707.70696665443,424105.406135242,392214.79685438506,751594.7750502182,300,0.9666666666666667,random,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"video_transcode,batch_training,log_aggregator",gRPC Endpoint,42
